fips,election_year,state,county,uocava_total_reg,military_total,civilian_total,uocava_transmitted_total,uocava_mail_transmitted,uocava_email_transmitted,uocava_returned_total,uocava_mail_returned,uocava_email_returned,uocava_total_counted,uocava_mail_counted,uocava_email_counted,uocava_total_rejected,uocava_deadline_rejected,uocava_voter_signature_total,uocava_postmark_rejected_total,uocava_other_rejected_total,military_transmitted,military_mail_transmitted,military_email_transmitted,military_returned_total,military_mail_returned,military_email_returned,military_counted_total,military_mail_counted,military_email_counted,military_rejected_total,military_deadline_rejected,military_signature_rejected,military_postmark_rejected,military_other_rejected
1001,2018,1,1,0,0,0,9,1,8,2,2,0,2,2,0,0,0,0,0,0,4,1,3,2,2,0,2,2,0,0,0,0,0,0
1003,2018,1,3,0,0,0,59,15,43,15,14,0,15,14,0,0,0,0,0,0,19,9,9,10,9,0,10,9,0,0,0,0,0,0
1005,2018,1,5,0,0,0,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,2018,1,7,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0
1009,2018,1,9,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0
1011,2018,1,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1013,2018,1,13,0,0,0,3,3,0,2,2,0,2,2,0,0,0,0,0,0,3,3,0,2,2,0,2,2,0,0,0,0,0,0
1015,2018,1,15,0,0,0,23,10,12,17,10,6,17,10,6,0,0,0,0,0,18,9,8,12,9,2,12,9,2,0,0,0,0,0
1017,2018,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,2018,1,19,0,0,0,2,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1021,2018,1,21,0,0,0,5,4,1,3,2,1,2,1,1,1,0,1,0,0,5,4,1,3,2,1,2,1,1,1,0,1,0,0
1023,2018,1,23,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0
1025,2018,1,25,0,0,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0
1027,2018,1,27,0,0,0,4,4,0,4,4,0,4,4,0,0,0,0,0,0,4,4,0,4,4,0,4,4,0,0,0,0,0,0
1029,2018,1,29,0,0,0,3,1,0,3,0,0,3,0,0,0,0,0,0,0,3,1,0,3,0,0,3,0,0,0,0,0,0,0
1031,2018,1,31,0,0,0,34,3,31,23,7,16,23,7,16,0,0,0,0,0,30,3,27,19,7,12,19,7,12,0,0,0,0,0
1033,2018,1,33,0,0,0,9,4,1,5,5,0,5,5,0,0,0,0,0,0,8,3,1,5,5,0,5,5,0,0,0,0,0,0
1035,2018,1,35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,2018,1,37,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1039,2018,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,2018,1,41,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0
1043,2018,1,43,0,0,0,15,0,15,13,4,9,13,4,9,0,0,0,0,0,4,0,4,3,3,0,3,3,0,0,0,0,0,0
1045,2018,1,45,0,0,0,21,6,15,13,9,3,13,9,3,0,0,0,0,0,21,6,15,13,9,3,13,9,3,0,0,0,0,0
1047,2018,1,47,0,0,0,4,2,2,3,3,0,3,3,0,0,0,0,0,0,3,2,1,3,3,0,3,3,0,0,0,0,0,0
1049,2018,1,49,0,0,0,6,6,0,4,1,3,4,1,3,0,0,0,0,0,4,4,0,4,1,3,4,1,3,0,0,0,0,0
